,brand,description,link,price,img-file
32,indigo africa,XL Ellie,https://cdn.shopify.com/s/files/1/0031/6622/products/XLEllie_grande.png?v=1554234241,195.0,ia_24.png
33,indigo africa,Half Shell Tote,https://cdn.shopify.com/s/files/1/0031/6622/products/BB128_HalfShellBag_64b65a8a-296a-4c95-8b45-57447192f66d_grande.png?v=1549570129,175.0,ia_25.png
34,indigo africa,Mini Ellie,https://cdn.shopify.com/s/files/1/0031/6622/products/MiniEllie_grande.png?v=1548864981,75.0,ia_26.png
35,indigo africa,Crochet Raffia Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/CaO5V4EUSl9TZmuzODqy_BB117_Small_ce6a2724-8498-497b-a7d1-790c4db10108_grande.png?v=1554473888,85.0,ia_27.png
36,indigo africa,Ava Bucket Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/d8l5ZAFcTGmf7YlHr8h1_NewAva_grande.png?v=1539703761,95.0,ia_28.png
37,indigo africa,Frieda Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/1fJ1NrK6TzmaxsuGxPSq_BB95_Plain-Frieda-_web_grande.png?v=1536332583,70.0,ia_29.png
38,indigo africa,Frieda Mini Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/BB56_FreidaBag_56c4d5fa-0569-49d4-ae1c-d12a6c77705b_grande.jpg?v=1528747902,45.0,ia_30.png
39,indigo africa,Frieda Fringe Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/BB60_Viatote_61833ddf-1cfd-4119-8501-c9b3d959b3b9_grande.jpg?v=1528473600,95.0,ia_31.png
40,indigo africa,Maize Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/MaizeBag_877caaa8-df98-4e1c-bef4-ef7025ba94b4_grande.png?v=1528475755,85.0,ia_32.png
41,indigo africa,Mini Banana Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/BananaBag_815dc566-13cc-455f-92c9-72eb16522c7f_grande.png?v=1528476660,55.0,ia_33.png
42,indigo africa,Pink Accent Market Bolga,https://cdn.shopify.com/s/files/1/0031/6622/products/NyOqNqFS1SgfmFv5IlLG_GH73_MarketBolga_WEB_grande.png?v=1525966576,75.0,ia_34.png
43,indigo africa,Heart + Shell Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/S7bqskliThCLaDwXiDPd_BB92_ShellHeartBag_WEB_grande.png?v=1524764285,95.0,ia_35.png
44,indigo africa,Raffia Braided Basket Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/FB38_Newraffia-basket_grande.png?v=1548709889,135.0,ia_36.png
45,indigo africa,Natural Bolga Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/T6sW64qbTVOQfqhFeCLu_NewBolga_Web_grande.png?v=1517239921,150.0,ia_37.png
46,indigo africa,Flora Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/Flora_1_web_grande.png?v=1547587276,95.0,ia_38.png
47,indigo africa,June Bag (More Colors),https://cdn.shopify.com/s/files/1/0031/6622/products/ecMfhcxZQqaJ9v8xdhyi_BB86_June_Web_grande.png?v=1542206138,85.0,ia_39.png
48,indigo africa,Luna Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/og1NRycqTQqC7T7cKGCr_BB80_LunaBag_grande.png?v=1551727160,110.0,ia_40.png
49,indigo africa,Jill Mini Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/jeMEyGhPSMKYhloBtJd0_JillBag_New_grande.png?v=1539786574,95.0,ia_41.png
50,indigo africa,Large Palm Tote,https://cdn.shopify.com/s/files/1/0031/6622/products/YGe5e3WjQm9Ey9eAJsvg_BB79_Palm_Tote_grande.jpg?v=1530126103,75.0,ia_42.png
51,indigo africa,Calico Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/AIH15RWSS3GZxYJCiDaA_Shellbag_grande.jpg?v=1537298680,70.0,ia_43.png
52,indigo africa,Willa Mini Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/FTYxXaN4TqZCLqTZBpZ5_BB81_Willa_Minibag_grande.jpg?v=1525199484,55.0,ia_44.png
53,indigo africa,Tibi Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/MEIJFDBhRQ2ooO2lyGi1_RaffiaBag_grande.jpg?v=1527876130,225.0,ia_45.png
54,indigo africa,Striped Panel Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/BB69_PanelBag_grande.png?v=1532530455,70.0,ia_46.png
55,indigo africa,Mini Sally Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/MiniSally_grande.jpg?v=1547586717,45.0,ia_47.png
56,indigo africa,Palm Pom Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/BB64_PalmPomBag_grande.png?v=1548712014,85.0,ia_48.png
57,indigo africa,Natalia Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/Natalia_grande.jpg?v=1547586926,110.0,ia_49.png
58,indigo africa,Sally Bag,https://cdn.shopify.com/s/files/1/0031/6622/products/SallyBag_grande.jpg?v=1547586948,60.0,ia_50.png
59,indigo africa,small palm bag,https://cdn.shopify.com/s/files/1/0031/6622/products/n7nnCvYBSKuMpWiWxoKS_BB75_MiniPalmBag_web_grande.png?v=1525199692,35.0,ia_51.png
60,indigo africa,Vio Tote,https://cdn.shopify.com/s/files/1/0031/6622/products/VioTote_grande.jpg?v=1547586831,75.0,ia_52.png
61,raven and lily,addis backpack cognac,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910520final_1024x.jpg?v=1554150057,186.0,rl_1.jpg
62,raven and lily,addis backpack feather,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/2019-03-20_1_1024x.jpg?v=1554141379,186.0,rl_2.jpg
63,raven and lily,addis backpack fig,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/2019-03-20_88fd16ee-8e20-453d-b17d-e0bbe9ac6a51_1024x.jpg?v=1554141410,186.0,rl_3.jpg
64,raven and lily,addis backpack turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910539final_1024x.jpg?v=1551718785,186.0,rl_4.jpg
65,raven and lily,yami backpack brown,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1911065final_1024x.jpg?v=1553893670,168.0,rl_5.jpg
66,raven and lily,yami backpack olive,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1911063final_1024x.jpg?v=1551864229,168.0,rl_6.jpg
67,raven and lily,yami backpack black,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/Yami_Backpack_Black_1_1024x.jpg?v=1543397123,168.0,rl_7.jpg
68,raven and lily,addis mini crossbody fig,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/MG_0252_A_1024x.jpg?v=1552468887,120.0,rl_8.jpg
69,raven and lily,addis mini crossbody honey,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910666final_1024x.jpg?v=1551864094,120.0,rl_9.jpg
70,raven and lily,addis mini crossbody feather,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910662final_1024x.jpg?v=1551864093,120.0,rl_10.jpg
71,raven and lily,day crossbody cognac,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/IMG_3513_1024x.jpg?v=1551864125,248.0,rl_11.jpg
72,raven and lily,day crossbody turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910869final_1024x.jpg?v=1551864126,248.0,rl_12.jpg
73,raven and lily,day crossbody black,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/2019-02-28_1024x.jpg?v=1551864124,248.0,rl_13.jpg
74,raven and lily,large day crossbody cognac,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910913final__1_1024x.jpg?v=1553073729,298.0,rl_14.jpg
75,raven and lily,mini mara crossbody cognac,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1911095final_1024x.jpg?v=1551864173,198.0,rl_15.jpg
76,raven and lily,mini mara crossbody turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/MG_0709_1024x.jpg?v=1553016748,198.0,rl_16.jpg
77,raven and lily,fringe hobo honey,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910930final_1024x.jpg?v=1551864142,348.0,rl_18.jpg
78,raven and lily,fringe hobo turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910953final_1024x.jpg?v=1551864143,348.0,rl_19.jpg
79,raven and lily,addis mini crossbody turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910657final_1024x.jpg?v=1551864095,120.0,rl_20.jpg
